,date,home_team,away_team,home_pitcher_curr_era,home_pitcher_prev_era,home_pitcher_prev_ip,away_pitcher_curr_era,away_pitcher_prev_era,away_pitcher_prev_ip,pitcher_adv,home_curr_ops,home_prev_ops,away_curr_ops,away_prev_ops,home_curr_hr,home_prev_hr,away_curr_hr,away_prev_hr,home_team_curr_win_pct,home_team_prev_win_pct,home_team_curr_fir_avg,home_team_prev_fir_avg,away_team_curr_win_pct,away_team_prev_win_pct,away_team_curr_fir_avg,away_team_prev_fir_avg,park_rating,fir_result
1727,20180824,ARI,SEA,4.44,3.37,155.0,3.92,3.92,62.0,0,0.90325,0.8282499999999999,0.7898,0.7904,0.05245216820734936,0.04219886768367273,0.031100258105302293,0.03496965634821453,0.5589999999999999,0.574,0.8740157480314961,0.6666666666666666,0.562,0.48100000000000004,0.703125,0.5,1.202,0
1728,20180824,LAA,HOU,4.18,7.06,21.2,3.64,2.9,145.2,0,0.7898,0.6439999999999999,0.8492,0.9001999999999999,0.03833027630308313,0.04450910069716968,0.04529634229384672,0.046558256985237516,0.49200000000000005,0.494,0.5546875,0.462962962962963,0.606,0.623,0.4566929133858268,0.5987654320987654,1.0,0
1729,20180824,LAD,SD,3.73,3.26,140.2,5.11,4.79,197.1,0,0.8086,0.8420000000000001,0.7362,0.7559999999999999,0.03914909760334714,0.04750296612997501,0.03877504325762467,0.043833071095472256,0.523,0.642,0.5703125,0.5679012345679012,0.38799999999999996,0.43799999999999994,0.4846153846153846,0.5,0.971,1
1730,20180824,SF,TEX,2.25,6.0,0.0,6.0,6.0,0.0,1,0.7332,0.8089999999999999,0.77225,0.6749999999999999,0.02729282795797684,0.034856773654288686,0.03312625279718072,0.02896350783065137,0.484,0.395,0.4496124031007752,0.462962962962963,0.442,0.48100000000000004,0.4108527131782946,0.6604938271604939,1.0,1
1731,20180825,BAL,NYY,4.35,4.35,20.2,2.22,3.53,145.1,0,0.7368,0.6018,0.7858,0.9934,0.038570966764278417,0.042922537334734286,0.04286348157669546,0.0433054800496661,0.29100000000000004,0.46299999999999997,0.4573643410852713,0.5617283950617284,0.627,0.562,0.71875,0.5740740740740741,1.026,1
1732,20180825,CHC,CIN,4.36,3.74,84.1,4.86,3.12,89.1,2,0.8218,0.8072000000000001,0.8362,0.7762,0.030089663533321133,0.04022097971586773,0.04049745888624125,0.04653469876468812,0.579,0.568,0.5,0.6234567901234568,0.43799999999999994,0.42,0.4418604651162791,0.6790123456790124,1.131,0
1733,20180825,SF,TEX,4.68,6.0,0.0,6.93,4.77,185.0,0,0.7476,0.768,0.77225,0.6749999999999999,0.03296462389410925,0.03717391278607153,0.03312625279718072,0.02896350783065137,0.488,0.395,0.476923076923077,0.462962962962963,0.442,0.48100000000000004,0.4076923076923077,0.6604938271604939,1.0,1
1734,20180825,NYM,WAS,3.63,5.21,86.1,4.05,4.67,181.1,1,0.7572000000000001,0.6362,0.8338000000000001,0.7148,0.03157132746355409,0.0513758567987427,0.04125619466710531,0.04173431714426287,0.441,0.43200000000000005,0.578125,0.6666666666666666,0.5,0.599,0.6201550387596899,0.654320987654321,0.858,0
1735,20180825,TOR,PHI,4.52,4.25,36.0,4.66,5.89,133.0,0,0.8099999999999999,0.6138,0.7407999999999999,0.845,0.0457836026262267,0.04310267747726649,0.03877008541391663,0.04663392926574342,0.457,0.469,0.40625,0.5740740740740741,0.5429999999999999,0.40700000000000003,0.5234375,0.5123456790123457,0.946,0
1736,20180825,TB,BOS,3.84,6.0,0.0,4.14,4.65,203.1,1,0.54775,0.6595,0.9858,0.8341999999999998,0.02143563278045436,0.05848666758511891,0.06059763541843775,0.05100972231607601,0.523,0.494,0.5193798449612403,0.5246913580246914,0.698,0.574,0.6307692307692307,0.5246913580246914,0.902,0
